                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 0.9884,                0.56036,                 1.0703,                0.84437,                 0.6911,                0.77046,                0.54046,                 1.0713,                0.59338,                 1.0852,              0.0005149,              0.0005149,              0.0005149
                     51,                0.98008,                0.55732,                 1.0692,                 0.8419,                0.69415,                0.77069,                0.53939,                 1.0774,                0.59726,                 1.0935,               0.000505,               0.000505,               0.000505
                     52,                0.98483,                0.55667,                 1.0689,                0.84909,                0.69246,                0.77375,                0.54138,                   1.07,                0.58912,                 1.0795,              0.0004951,              0.0004951,              0.0004951
                     53,                0.99331,                0.55915,                 1.0652,                0.85564,                0.69009,                0.77395,                0.54311,                 1.0694,                0.59207,                 1.0814,              0.0004852,              0.0004852,              0.0004852
                     54,                0.98139,                0.55175,                 1.0634,                0.84775,                0.69302,                0.77318,                0.54201,                 1.0658,                0.59445,                 1.0823,              0.0004753,              0.0004753,              0.0004753
                     55,                0.99211,                0.55423,                 1.0675,                0.84748,                0.69893,                0.77654,                0.54482,                 1.0671,                 0.5877,                 1.0825,              0.0004654,              0.0004654,              0.0004654
                     56,                0.98372,                0.55276,                 1.0662,                 0.8513,                0.69597,                0.77481,                0.54545,                 1.0677,                0.58706,                 1.0854,              0.0004555,              0.0004555,              0.0004555
                     57,                0.98323,                0.54934,                 1.0696,                0.85492,                0.69269,                0.77339,                0.54349,                  1.069,                 0.5876,                 1.0863,              0.0004456,              0.0004456,              0.0004456
                     58,                0.98207,                0.54803,                 1.0669,                0.86069,                0.69047,                0.77517,                0.54444,                 1.0637,                0.58686,                 1.0816,              0.0004357,              0.0004357,              0.0004357
                     59,                0.98051,                0.54592,                 1.0628,                0.84596,                0.70069,                0.77749,                0.54687,                 1.0604,                0.58779,                 1.0785,              0.0004258,              0.0004258,              0.0004258
                     60,                0.97111,                0.53956,                 1.0579,                0.85513,                0.69598,                0.77706,                0.54623,                 1.0619,                 0.5822,                 1.0797,              0.0004159,              0.0004159,              0.0004159
                     61,                0.96153,                0.54629,                 1.0613,                0.85429,                 0.7011,                0.77763,                 0.5483,                 1.0591,                0.58167,                 1.0808,               0.000406,               0.000406,               0.000406
                     62,                0.97316,                0.54345,                 1.0589,                 0.8612,                0.69733,                0.77828,                0.54707,                 1.0609,                0.58419,                 1.0812,              0.0003961,              0.0003961,              0.0003961
                     63,                0.95744,                0.53367,                 1.0586,                0.85435,                0.70176,                0.77922,                0.54925,                 1.0605,                0.57858,                 1.0786,              0.0003862,              0.0003862,              0.0003862
                     64,                0.96534,                0.54099,                 1.0556,                0.85724,                0.69816,                0.77781,                0.54893,                 1.0608,                0.57844,                 1.0794,              0.0003763,              0.0003763,              0.0003763
                     65,                0.96393,                0.53725,                 1.0472,                0.86019,                0.69957,                0.78107,                0.55126,                 1.0573,                0.57746,                 1.0761,              0.0003664,              0.0003664,              0.0003664
                     66,                0.95423,                0.53063,                 1.0489,                 0.8561,                0.70208,                0.78035,                0.55169,                 1.0547,                0.57568,                 1.0756,              0.0003565,              0.0003565,              0.0003565
                     67,                  0.951,                0.52848,                 1.0506,                0.86084,                0.69632,                 0.7788,                0.55097,                 1.0489,                0.57657,                 1.0749,              0.0003466,              0.0003466,              0.0003466
                     68,                0.96052,                0.53173,                 1.0434,                0.85192,                0.70454,                0.78048,                0.55321,                 1.0497,                0.57201,                 1.0758,              0.0003367,              0.0003367,              0.0003367
                     69,                0.94513,                0.52748,                 1.0473,                0.85597,                0.70145,                0.77941,                0.55115,                 1.0538,                0.57162,                 1.0753,              0.0003268,              0.0003268,              0.0003268
                     70,                  0.941,                0.52102,                 1.0449,                 0.8556,                0.69711,                0.77731,                0.55031,                 1.0529,                0.57373,                 1.0736,              0.0003169,              0.0003169,              0.0003169
                     71,                0.96193,                0.53558,                 1.0495,                0.85363,                0.69975,                0.77941,                0.55252,                 1.0499,                0.57354,                 1.0744,               0.000307,               0.000307,               0.000307
                     72,                0.94277,                0.52183,                 1.0453,                0.85106,                0.70147,                0.77955,                0.55286,                 1.0481,                0.57143,                 1.0732,              0.0002971,              0.0002971,              0.0002971
                     73,                0.91384,                0.51216,                 1.0435,                0.85897,                0.70045,                0.78053,                0.55288,                 1.0488,                0.57317,                 1.0721,              0.0002872,              0.0002872,              0.0002872
                     74,                0.93003,                0.51271,                 1.0479,                 0.8559,                0.70526,                0.77984,                0.55378,                 1.0478,                0.57207,                 1.0775,              0.0002773,              0.0002773,              0.0002773
                     75,                0.93128,                0.51376,                 1.0445,                0.85661,                 0.7019,                0.78191,                0.55384,                  1.048,                0.57122,                 1.0764,              0.0002674,              0.0002674,              0.0002674
                     76,                0.92993,                0.51334,                 1.0391,                0.86103,                0.69883,                 0.7809,                0.55369,                 1.0492,                0.57055,                 1.0737,              0.0002575,              0.0002575,              0.0002575
