                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.94099,                0.60047,                 1.1605,                0.85477,                0.72822,                0.82227,                0.58846,                 1.1146,                0.67516,                 1.2172,              0.0005545,              0.0005545,              0.0005545
                     47,                0.92317,                0.59337,                 1.1583,                0.85619,                0.73412,                0.82379,                0.59148,                 1.1008,                0.67525,                 1.2118,              0.0005446,              0.0005446,              0.0005446
                     48,                0.92368,                0.58776,                 1.1457,                 0.8602,                0.73094,                0.82492,                0.59249,                 1.0944,                0.67134,                  1.199,              0.0005347,              0.0005347,              0.0005347
                     49,                0.91997,                 0.5868,                 1.1505,                0.85839,                0.73189,                0.82623,                0.59495,                 1.0855,                0.67049,                  1.201,              0.0005248,              0.0005248,              0.0005248
                     50,                0.91719,                0.58121,                 1.1487,                0.86404,                0.72936,                0.82708,                0.59528,                  1.088,                0.66767,                 1.2025,              0.0005149,              0.0005149,              0.0005149
                     51,                0.92051,                0.58291,                 1.1476,                0.85309,                0.73923,                0.83049,                 0.5964,                  1.087,                 0.6666,                 1.1981,               0.000505,               0.000505,               0.000505
                     52,                0.90851,                0.57894,                 1.1425,                0.85869,                0.73591,                0.82904,                0.59882,                 1.0841,                 0.6648,                 1.2016,              0.0004951,              0.0004951,              0.0004951
                     53,                 0.9081,                0.57394,                 1.1429,                0.86301,                0.73423,                0.82914,                0.59826,                 1.0852,                0.66497,                 1.1996,              0.0004852,              0.0004852,              0.0004852
                     54,                0.89709,                0.56963,                 1.1365,                0.85406,                0.74078,                0.82969,                0.59908,                 1.0802,                0.66319,                 1.1956,              0.0004753,              0.0004753,              0.0004753
                     55,                0.89751,                0.56799,                 1.1361,                0.85382,                0.73827,                0.83011,                0.60091,                 1.0756,                0.66163,                 1.1929,              0.0004654,              0.0004654,              0.0004654
                     56,                0.89658,                0.55961,                 1.1391,                0.85812,                0.74143,                0.82894,                0.59837,                 1.0779,                0.65668,                 1.1962,              0.0004555,              0.0004555,              0.0004555
                     57,                0.89901,                0.56377,                 1.1357,                0.85638,                0.74197,                0.82872,                0.60042,                 1.0779,                 0.6558,                 1.1963,              0.0004456,              0.0004456,              0.0004456
                     58,                0.89595,                0.56376,                 1.1329,                0.85093,                0.74534,                0.83004,                 0.6019,                 1.0728,                0.65514,                 1.1943,              0.0004357,              0.0004357,              0.0004357
                     59,                0.89323,                0.55851,                 1.1363,                0.85134,                0.74499,                0.83166,                0.60344,                 1.0783,                0.65256,                  1.195,              0.0004258,              0.0004258,              0.0004258
                     60,                 0.8896,                 0.5531,                 1.1226,                0.86084,                0.73889,                0.83095,                0.60226,                 1.0761,                0.65025,                 1.1913,              0.0004159,              0.0004159,              0.0004159
                     61,                 0.8835,                0.54841,                 1.1251,                0.85266,                 0.7416,                 0.8303,                0.60415,                 1.0699,                0.64758,                 1.1918,               0.000406,               0.000406,               0.000406
                     62,                0.87756,                0.54942,                 1.1255,                0.85764,                0.74297,                 0.8316,                0.60327,                 1.0712,                0.64632,                 1.1919,              0.0003961,              0.0003961,              0.0003961
                     63,                0.87922,                 0.5466,                 1.1196,                0.86024,                0.73983,                0.83152,                0.60355,                 1.0683,                0.64495,                 1.1895,              0.0003862,              0.0003862,              0.0003862
                     64,                0.88293,                0.54465,                  1.126,                0.85426,                0.74048,                0.83155,                0.60316,                 1.0661,                0.64603,                 1.1878,              0.0003763,              0.0003763,              0.0003763
                     65,                0.86959,                0.54005,                 1.1176,                0.86155,                0.74458,                0.83207,                0.60375,                 1.0621,                0.64226,                 1.1858,              0.0003664,              0.0003664,              0.0003664
                     66,                0.87525,                0.54061,                 1.1142,                0.86649,                0.74267,                0.83193,                 0.6041,                 1.0612,                0.64208,                 1.1844,              0.0003565,              0.0003565,              0.0003565
                     67,                0.86145,                0.53119,                 1.1142,                0.85768,                0.74684,                0.83235,                0.60302,                 1.0634,                   0.64,                 1.1865,              0.0003466,              0.0003466,              0.0003466
                     68,                0.86348,                0.53256,                 1.1084,                 0.8598,                0.74747,                0.83161,                0.60437,                 1.0636,                0.63961,                 1.1866,              0.0003367,              0.0003367,              0.0003367
                     69,                0.86882,                0.53431,                 1.1101,                0.86711,                0.74354,                0.83235,                0.60525,                 1.0635,                0.64029,                 1.1859,              0.0003268,              0.0003268,              0.0003268
                     70,                0.86034,                0.52801,                 1.1088,                 0.8555,                0.74804,                0.83426,                 0.6066,                 1.0647,                0.63874,                  1.184,              0.0003169,              0.0003169,              0.0003169
                     71,                0.85668,                 0.5224,                 1.1056,                0.85794,                0.74802,                0.83458,                0.60645,                 1.0624,                0.63881,                 1.1848,               0.000307,               0.000307,               0.000307
                     72,                0.85384,                0.51959,                 1.1059,                0.85375,                0.74845,                 0.8351,                0.60668,                 1.0604,                0.63923,                 1.1844,              0.0002971,              0.0002971,              0.0002971
                     73,                0.85014,                0.52067,                 1.1034,                0.84827,                0.75212,                0.83485,                0.60642,                 1.0602,                0.63884,                 1.1838,              0.0002872,              0.0002872,              0.0002872
                     74,                0.85359,                0.52028,                 1.0986,                0.84764,                0.75457,                 0.8356,                0.60719,                 1.0583,                0.63655,                  1.183,              0.0002773,              0.0002773,              0.0002773
                     75,                0.84776,                0.51608,                 1.0999,                0.85093,                0.75323,                0.83546,                0.60664,                 1.0578,                0.63598,                 1.1829,              0.0002674,              0.0002674,              0.0002674
                     76,                0.84348,                 0.5137,                 1.0973,                0.85012,                0.75224,                0.83596,                0.60859,                 1.0559,                0.63495,                 1.1827,              0.0002575,              0.0002575,              0.0002575
                     77,                0.83632,                0.50685,                 1.0937,                0.85348,                0.75108,                0.83517,                0.60877,                  1.056,                0.63396,                 1.1822,              0.0002476,              0.0002476,              0.0002476
                     78,                 0.8382,                0.50663,                 1.0969,                0.85954,                0.74605,                0.83444,                0.60918,                 1.0555,                 0.6341,                 1.1825,              0.0002377,              0.0002377,              0.0002377
