                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.97319,                0.63238,                 1.1668,                0.84413,                0.71118,                 0.8013,                0.56686,                 1.1442,                0.72311,                 1.2096,              0.0003763,              0.0003763,              0.0003763
                     65,                 0.9627,                0.62944,                 1.1609,                0.84279,                0.71614,                0.80268,                0.56758,                 1.1436,                 0.7228,                 1.2076,              0.0003664,              0.0003664,              0.0003664
                     66,                0.97168,                0.63182,                 1.1636,                0.84481,                0.71173,                0.80198,                0.56731,                 1.1468,                 0.7207,                 1.2102,              0.0003565,              0.0003565,              0.0003565
                     67,                0.95626,                 0.6225,                 1.1559,                0.84515,                0.71082,                0.80196,                0.56837,                 1.1453,                0.72066,                 1.2078,              0.0003466,              0.0003466,              0.0003466
                     68,                0.96397,                 0.6305,                 1.1555,                0.84782,                0.70968,                0.80307,                0.57017,                 1.1444,                0.72082,                 1.2065,              0.0003367,              0.0003367,              0.0003367
                     69,                0.96931,                0.62398,                  1.157,                0.83849,                0.71494,                0.80325,                0.57058,                  1.143,                0.71823,                 1.2063,              0.0003268,              0.0003268,              0.0003268
                     70,                0.95727,                 0.6199,                 1.1596,                 0.8429,                0.71585,                0.80453,                0.57204,                 1.1412,                0.71659,                 1.2052,              0.0003169,              0.0003169,              0.0003169
                     71,                0.95757,                0.61726,                 1.1545,                0.83992,                0.71484,                0.80382,                0.57241,                 1.1406,                0.71546,                 1.2053,               0.000307,               0.000307,               0.000307
                     72,                0.94983,                0.61332,                 1.1549,                0.83557,                 0.7154,                0.80341,                0.57242,                 1.1395,                0.71504,                  1.206,              0.0002971,              0.0002971,              0.0002971
                     73,                0.94839,                0.61451,                 1.1508,                0.84161,                0.71348,                 0.8037,                0.57293,                 1.1385,                0.71434,                 1.2052,              0.0002872,              0.0002872,              0.0002872
                     74,                0.95589,                0.62614,                 1.1534,                0.83271,                0.71742,                0.80413,                0.57207,                 1.1377,                 0.7132,                 1.2063,              0.0002773,              0.0002773,              0.0002773
                     75,                 0.9501,                0.61257,                 1.1527,                0.84029,                0.71496,                0.80439,                0.57242,                 1.1363,                0.71095,                 1.2065,              0.0002674,              0.0002674,              0.0002674
                     76,                0.94376,                0.60815,                  1.148,                 0.8369,                0.71681,                0.80504,                0.57296,                 1.1349,                0.71184,                 1.2046,              0.0002575,              0.0002575,              0.0002575
                     77,                0.93605,                0.60246,                 1.1454,                0.84004,                0.71696,                0.80531,                0.57304,                 1.1344,                0.71056,                 1.2037,              0.0002476,              0.0002476,              0.0002476
                     78,                 0.9395,                0.60405,                  1.146,                0.84197,                0.71548,                0.80547,                0.57382,                 1.1348,                0.71076,                 1.2036,              0.0002377,              0.0002377,              0.0002377
                     79,                0.93925,                 0.6056,                 1.1431,                0.84574,                0.71702,                0.80625,                0.57402,                 1.1337,                0.71012,                 1.2029,              0.0002278,              0.0002278,              0.0002278
                     80,                0.92708,                0.59969,                 1.1415,                 0.8429,                0.71961,                  0.806,                0.57421,                 1.1337,                0.70996,                 1.2025,              0.0002179,              0.0002179,              0.0002179
                     81,                  0.936,                0.60666,                 1.1479,                0.84627,                0.71696,                0.80615,                0.57486,                 1.1334,                0.71013,                 1.2017,               0.000208,               0.000208,               0.000208
                     82,                0.93295,                0.59877,                 1.1398,                0.84257,                0.71992,                0.80653,                0.57501,                 1.1337,                0.70971,                 1.2009,              0.0001981,              0.0001981,              0.0001981
                     83,                0.92916,                0.59427,                 1.1377,                0.84246,                0.72173,                0.80723,                0.57483,                 1.1343,                0.70876,                 1.2012,              0.0001882,              0.0001882,              0.0001882
                     84,                0.92705,                0.59206,                 1.1325,                 0.8464,                0.71879,                0.80729,                0.57487,                 1.1343,                0.70793,                 1.2015,              0.0001783,              0.0001783,              0.0001783
                     85,                0.92904,                0.58641,                 1.1355,                0.84371,                0.72002,                0.80767,                0.57492,                 1.1335,                0.70678,                 1.2011,              0.0001684,              0.0001684,              0.0001684
