                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.92492,                0.52949,                  1.079,                0.86087,                0.67056,                0.75745,                 0.5315,                 1.1286,                0.60521,                 1.2033,              0.0004753,              0.0004753,              0.0004753
                     55,                0.93666,                0.53025,                 1.0713,                0.87103,                0.67238,                 0.7607,                0.53499,                 1.1161,                0.59296,                 1.1944,              0.0004654,              0.0004654,              0.0004654
                     56,                0.93066,                0.52988,                 1.0693,                0.85919,                0.67573,                0.75706,                0.53059,                 1.1284,                0.60271,                 1.2043,              0.0004555,              0.0004555,              0.0004555
                     57,                0.93394,                0.53236,                 1.0697,                0.85365,                0.67561,                0.75762,                0.53151,                 1.1167,                0.60047,                 1.1967,              0.0004456,              0.0004456,              0.0004456
                     58,                0.92531,                0.52117,                 1.0683,                0.85304,                0.68346,                0.76327,                0.53303,                 1.1207,                0.59512,                 1.1995,              0.0004357,              0.0004357,              0.0004357
                     59,                0.92573,                 0.5256,                 1.0616,                0.85488,                0.67923,                0.76304,                0.53542,                 1.1254,                0.59645,                 1.1962,              0.0004258,              0.0004258,              0.0004258
                     60,                0.90872,                0.51498,                 1.0696,                0.85511,                0.67897,                0.76027,                0.53342,                 1.1232,                 0.5937,                 1.2157,              0.0004159,              0.0004159,              0.0004159
                     61,                0.92076,                0.51765,                 1.0619,                0.86106,                0.67537,                0.75971,                0.53528,                 1.1146,                0.59436,                 1.1878,               0.000406,               0.000406,               0.000406
                     62,                0.91177,                0.51641,                 1.0674,                0.85764,                0.68101,                0.76134,                0.53709,                 1.1186,                 0.5885,                 1.1962,              0.0003961,              0.0003961,              0.0003961
                     63,                  0.903,                0.51169,                 1.0585,                0.85984,                0.68329,                0.76258,                0.53799,                 1.1141,                0.58654,                 1.2113,              0.0003862,              0.0003862,              0.0003862
